Timestamp,Distance(cm),FlowRate(L/min),Volume(L)
65000,115.3,0.00,0.000
66000,119.1,0.00,0.000
67000,119.4,0.00,0.000
68000,118.0,0.00,0.000
69000,115.7,0.00,0.000
70000,99.6,0.00,0.000
71000,122.5,0.00,0.000
72000,115.0,0.00,0.000
73000,118.7,0.00,0.000
74000,118.0,0.00,0.000
75000,117.1,0.00,0.000
76000,122.1,0.00,0.000
77000,120.6,0.00,0.000
78000,118.0,0.00,0.000
79000,119.0,0.00,0.000
80000,117.1,0.00,0.000
81000,120.0,0.00,0.000
82000,119.5,0.00,0.000
83000,95.6,0.00,0.000
84000,114.5,0.00,0.000
85000,112.4,0.00,0.000
86000,112.9,0.00,0.000
87000,117.6,0.00,0.000
88000,112.2,0.00,0.000
89000,110.5,0.00,0.000
90000,112.2,0.00,0.000
91000,110.6,0.00,0.000
92000,120.0,5.00,2.000
93000,120.0,5.00,2.000
93000,160.0,10.00,5.000
94000,120.0,5.00,2.000
86000,112.9,23.00,123.000
86000,1442.9,235.00,1653.000
92000,120.0,5.00,2.000
86000,112.9,23.00,123.000
86000,179.55,24.00,125.000
92000,120.0,5.00,2.000

